employee_id,first_name,last_name,email,phone_NUMERIC,job_id,salary,commission_pct,manager_id,department_id
140,Joshua,Patel,JPATEL,650.121.1834,ST_CLERK,2500.00,NULL,123,50
141,Trenna,Rajs,TRAJS,650.121.8009,ST_CLERK,3500.00,NULL,124,50
142,Curtis,Davies,CDAVIES,650.121.2994,ST_CLERK,3100.00,NULL,124,50
143,Randall,Matos,RMATOS,650.121.2874,ST_CLERK,2600.00,NULL,124,50
144,Peter,Vargas,PVARGAS,650.121.2004,ST_CLERK,2500.00,NULL,124,50
180,Winston,Taylor,WTAYLOR,650.507.9876,SH_CLERK,3200.00,NULL,120,50
181,Jean,Fleaur,JFLEAUR,650.507.9877,SH_CLERK,3100.00,NULL,120,50
182,Martha,Sullivan,MSULLIVA,650.507.9878,SH_CLERK,2500.00,NULL,120,50
183,Girard,Geoni,GGEONI,650.507.9879,SH_CLERK,2800.00,NULL,120,50
184,Nandita,Sarchand,NSARCHAN,650.509.1876,SH_CLERK,4200.00,NULL,121,50
185,Alexis,Bull,ABULL,650.509.2876,SH_CLERK,4100.00,NULL,121,50
186,Julia,Dellinger,JDELLING,650.509.3876,SH_CLERK,3400.00,NULL,121,50
187,Anthony,Cabrio,ACABRIO,650.509.4876,SH_CLERK,3000.00,NULL,121,50
188,Kelly,Chung,KCHUNG,650.505.1876,SH_CLERK,3800.00,NULL,122,50
189,Jennifer,Dilly,JDILLY,650.505.2876,SH_CLERK,3600.00,NULL,122,50
190,Timothy,Gates,TGATES,650.505.3876,SH_CLERK,2900.00,NULL,122,50
191,Randall,Perkins,RPERKINS,650.505.4876,SH_CLERK,2500.00,NULL,122,50
192,Sarah,Bell,SBELL,650.501.1876,SH_CLERK,4000.00,NULL,123,50
193,Britney,Everett,BEVERETT,650.501.2876,SH_CLERK,3900.00,NULL,123,50
194,Samuel,McCain,SMCCAIN,650.501.3876,SH_CLERK,3200.00,NULL,123,50
195,Vance,Jones,VJONES,650.501.4876,SH_CLERK,2800.00,NULL,123,50
196,Alana,Walsh,AWALSH,650.507.9811,SH_CLERK,3100.00,NULL,124,50
197,Kevin,Feeney,KFEENEY,650.507.9822,SH_CLERK,3000.00,NULL,124,50
198,Donald,OConnell,DOCONNEL,650.507.9833,SH_CLERK,2600.00,NULL,124,50
199,Douglas,Grant,DGRANT,650.507.9844,SH_CLERK,2600.00,NULL,124,50
200,Jennifer,Whalen,JWHALEN,515.123.4444,AD_ASST,4400.00,NULL,101,10
201,Michael,Hartstein,MHARTSTE,515.123.5555,MK_MAN,13000.00,NULL,100,20
202,Pat,Fay,PFAY,603.123.6666,MK_REP,6000.00,NULL,201,20
203,Susan,Mavris,SMAVRIS,515.123.7777,HR_REP,6500.00,NULL,101,40
204,Hermann,Baer,HBAER,515.123.8888,PR_REP,10000.00,NULL,101,70
